Rating,DISA [K],Altitude [ft],Mach,Thrust [N],Fuel Flow [kg/s],SFC [kg/s/N]
21,0,20000,0.7,-445.668809,0.072503159,-0.000162684
50,0,20000,0.8,52660.23023,0.835734349,1.59E-05
45,0,20000,0.8,46000.15511,0.725031589,1.58E-05
40,0,20000,0.8,41236.84642,0.654157197,1.59E-05
21,0,20000,0.8,-1465.359125,0.067077752,-4.58E-05
50,0,20000,0.9,51587.05959,0.862786665,1.67E-05
45,0,20000,0.9,44631.0604,0.74845948,1.68E-05
40,0,20000,0.9,39789.31407,0.672863802,1.69E-05
21,0,20000,0.9,-2485.049441,0.061652346,-2.48E-05
50,0,20000,1,50250.05316,0.89078448,1.77E-05
45,0,20000,1,43308.31519,0.773120419,1.79E-05
40,0,20000,1,38566.39883,0.696184381,1.81E-05
21,0,20000,1,-3504.739757,0.05622694,-1.60E-05
50,0,25000,0,59865.80399,0.542323825,9.06E-06
45,0,25000,0,57737.28962,0.50431619,8.73E-06
40,0,25000,0,55968.87575,0.482412953,8.62E-06
21,0,25000,0,8909.8115,0.086313284,9.69E-06
50,0,25000,0.1,56842.38659,0.572513733,1.01E-05
45,0,25000,0.1,54528.47393,0.530210176,9.72E-06
40,0,25000,0.1,52606.74991,0.503921164,9.58E-06
21,0,25000,0.1,6959.5646,0.086066675,1.24E-05
50,0,25000,0.2,53045.28803,0.579119112,1.09E-05
45,0,25000,0.2,50816.94384,0.537608457,1.06E-05
40,0,25000,0.2,48795.38999,0.50867186,1.04E-05
21,0,25000,0.2,5451.421243,0.085326847,1.57E-05
50,0,25000,0.3,50168.05011,0.590142421,1.18E-05
45,0,25000,0.3,47986.05542,0.548705879,1.14E-05
40,0,25000,0.3,45747.01513,0.515626143,1.13E-05
21,0,25000,0.3,4331.901099,0.087176417,2.01E-05
50,0,25000,0.4,48192.84575,0.607360103,1.26E-05
45,0,25000,0.4,45939.54411,0.563502442,1.23E-05
40,0,25000,0.4,43393.88366,0.52523923,1.21E-05
21,0,25000,0.4,3322.906878,0.085573456,2.58E-05
50,0,25000,0.5,46991.32256,0.631356805,1.34E-05
45,0,25000,0.5,44420.70465,0.580765099,1.31E-05
40,0,25000,0.5,41543.46658,0.537240819,1.29E-05
21,0,25000,0.5,2435.134527,0.083600581,3.43E-05
50,0,25000,0.6,46427.99715,0.662553492,1.43E-05
45,0,25000,0.6,43329.70738,0.601726897,1.39E-05
40,0,25000,0.6,40138.71847,0.553133178,1.38E-05
21,0,25000,0.6,1597.27709,0.081381097,5.09E-05
50,0,25000,0.7,46028.67784,0.691927309,1.50E-05
45,0,25000,0.7,42434.80435,0.621455648,1.46E-05
40,0,25000,0.7,38826.66935,0.566928032,1.46E-05
21,0,25000,0.7,727.331515,0.077928565,0.000107143
50,0,25000,0.8,45640.05462,0.717947655,1.57E-05
45,0,25000,0.8,41536.3359,0.642417445,1.55E-05
40,0,25000,0.8,37450.44396,0.579951182,1.55E-05
21,0,25000,0.8,-203.2249217,0.073242987,-0.000360404
50,0,25000,0.9,45269.25819,0.747486937,1.65E-05
45,0,25000,0.9,40502.38423,0.663379243,1.64E-05
40,0,25000,0.9,36270.31295,0.597026448,1.65E-05
21,0,25000,0.9,-1144.4776,0.067817581,-5.93E-05
50,0,25000,1,44516.96921,0.772126621,1.73E-05
45,0,25000,1,39414.95222,0.684341041,1.74E-05
40,0,25000,1,35214.96909,0.616044747,1.75E-05
21,0,25000,1,-2085.730279,0.062392174,-2.99E-05
50,0,30000,0,49233.92811,0.450046248,9.14E-06
45,0,30000,0,48196.41117,0.431566422,8.95E-06
40,0,30000,0,46452.9546,0.408152666,8.79E-06
21,0,30000,0,10075.68114,0.090382339,8.97E-06
50,0,30000,0.1,46895.05815,0.474883491,1.01E-05
45,0,30000,0.1,45786.23395,0.453761267,9.91E-06
40,0,30000,0.1,43885.90211,0.426121426,9.71E-06
21,0,30000,0.1,8207.437441,0.09013573,1.10E-05
50,0,30000,0.2,43828.85652,0.480402689,1.10E-05
45,0,30000,0.2,42759.25129,0.459926501,1.08E-05
40,0,30000,0.2,40919.53031,0.432078864,1.06E-05
21,0,30000,0.2,6702.859351,0.089395902,1.33E-05
50,0,30000,0.3,41493.55167,0.489186702,1.18E-05
45,0,30000,0.3,40473.8615,0.469790877,1.16E-05
40,0,30000,0.3,38662.66325,0.440528156,1.14E-05
21,0,30000,0.3,5483.50938,0.088162855,1.61E-05
50,0,30000,0.4,39817.83694,0.500748009,1.26E-05
45,0,30000,0.4,38776.75444,0.479655252,1.24E-05
40,0,30000,0.4,36990.51379,0.450684603,1.22E-05
21,0,30000,0.4,4445.992289,0.086559894,1.95E-05
50,0,30000,0.5,38758.92781,0.517078898,1.33E-05
45,0,30000,0.5,37796.28309,0.498150956,1.32E-05
40,0,30000,0.5,35949.43143,0.467721452,1.30E-05
21,0,30000,0.5,3533.262628,0.084710323,2.40E-05
50,0,30000,0.6,38309.69359,0.539699406,1.41E-05
45,0,30000,0.6,37297.13395,0.519112753,1.39E-05
40,0,30000,0.6,35075.92044,0.482759677,1.38E-05
21,0,30000,0.6,2666.88232,0.082490839,3.09E-05
50,0,30000,0.7,38302.5629,0.567759754,1.48E-05
45,0,30000,0.7,37140.25853,0.543773692,1.46E-05
40,0,30000,0.7,34434.15724,0.499742728,1.45E-05
21,0,30000,0.7,1911.027934,0.082490839,4.32E-05
50,0,30000,0.8,38373.86986,0.596636778,1.55E-05
45,0,30000,0.8,36894.24937,0.565968536,1.53E-05
40,0,30000,0.8,33820.91692,0.516708639,1.53E-05
21,0,30000,0.8,1090.997273,0.079531526,7.29E-05
50,0,30000,0.9,38395.2619,0.624738589,1.63E-05
45,0,30000,0.9,36748.0699,0.591862522,1.61E-05
40,0,30000,0.9,33168.45777,0.534198283,1.61E-05
21,0,30000,0.9,238.8784734,0.075215862,0.000314871
50,0,30000,1,38170.64494,0.651172322,1.71E-05
45,0,30000,1,36284.57432,0.615290413,1.70E-05
40,0,30000,1,32152.33287,0.547873346,1.70E-05
21,0,30000,1,-613.2403258,0.070900198,-0.000115616
50,0,35000,0,40309.85525,0.368681029,9.15E-06
45,0,35000,0,40309.85525,0.368681029,9.15E-06
40,0,35000,0,38587.79088,0.343698188,8.91E-06
21,0,35000,0,10553.43794,0.094451394,8.95E-06
50,0,35000,0.1,38448.74223,0.390875874,1.02E-05
45,0,35000,0.1,38448.74223,0.390875874,1.02E-05
40,0,35000,0.1,36705.28567,0.363201772,9.90E-06
21,0,35000,0.1,9298.434567,0.093464957,1.01E-05
50,0,35000,0.2,36067.08789,0.395808061,1.10E-05
45,0,35000,0.2,36067.08789,0.395808061,1.10E-05
40,0,35000,0.2,34287.97792,0.36695769,1.07E-05
21,0,35000,0.2,8043.431192,0.092478519,1.15E-05
50,0,35000,0.3,34255.88978,0.403206343,1.18E-05
45,0,35000,0.3,34255.88978,0.403206343,1.18E-05
40,0,35000,0.3,32448.25694,0.373266603,1.15E-05
21,0,35000,0.3,6788.427816,0.091492081,1.35E-05
50,0,35000,0.4,32897.49116,0.411837671,1.25E-05
45,0,35000,0.4,32897.49116,0.411837671,1.25E-05
40,0,35000,0.4,31100.55442,0.38118593,1.23E-05
21,0,35000,0.4,5729.518682,0.09013573,1.57E-05
50,0,35000,0.5,32027.54559,0.425401187,1.33E-05
45,0,35000,0.5,32027.54559,0.425401187,1.33E-05
40,0,35000,0.5,30273.39307,0.395000677,1.30E-05
21,0,35000,0.5,4841.746331,0.090382339,1.87E-05
50,0,35000,0.6,31581.87678,0.442663844,1.40E-05
45,0,35000,0.6,31581.87678,0.442663844,1.40E-05
40,0,35000,0.6,29913.29258,0.413338075,1.38E-05
21,0,35000,0.6,3961.104661,0.087916245,2.22E-05
50,0,35000,0.7,31610.3995,0.464858689,1.47E-05
45,0,35000,0.7,31610.3995,0.464858689,1.47E-05
40,0,35000,0.7,29891.90054,0.434354514,1.45E-05
21,0,35000,0.7,3116.116543,0.085080237,2.73E-05
50,0,35000,0.8,31938.41185,0.490752674,1.54E-05
45,0,35000,0.8,31938.41185,0.490752674,1.54E-05
40,0,35000,0.8,29770.67852,0.452661093,1.52E-05
21,0,35000,0.8,2303.216562,0.08199762,3.56E-05
50,0,35000,0.9,32337.73102,0.517879706,1.60E-05
45,0,35000,0.9,32337.73102,0.517879706,1.60E-05
40,0,35000,0.9,29677.97938,0.47173493,1.59E-05
21,0,35000,0.9,1622.234547,0.081381097,5.02E-05
50,0,35000,1,32451.82235,0.543773692,1.68E-05
45,0,35000,1,32451.82235,0.543773692,1.68E-05
