ID,SLST,BPR,OPR,FPR,SFC,T_EoR,T_ToC,T_MdC,Category
192,37968.96022,5.039376299,28.25902902,1.622855173,0.633,29477,6601,5083,0
193,38480.26455,5.131301218,28.85926146,1.627575178,0.631,29781,6601,5073,0
194,38498.76083,5.131301218,28.86285995,1.626389364,0.631,29795,6603,5074,0
195,38462.40027,5.130330258,28.73392861,1.654645913,0.629,29793,6612,5078,0
196,38773.56403,5.213400415,28.44069618,1.626132399,0.632,29975,6614,5069,0
197,37994.05448,5.043463564,28.52583879,1.669435741,0.628,29512,6616,5093,0
198,38897.98554,5.201163427,28.76150062,1.657406587,0.63,30077,6617,5067,0
199,39982.01486,5.375217913,28.76043525,1.659857578,0.634,30778,6618,5031,0
200,38212.28142,5.108707989,28.26010596,1.657492832,0.629,29645,6618,5086,0
201,38773.56403,5.201163427,28.44069618,1.622321975,0.632,29981,6620,5075,0
202,38773.56403,5.201163427,28.44069618,1.622321975,0.632,29981,6620,5075,0
203,37923.83611,5.04493333,28.25024677,1.669385249,0.628,29473,6620,5096,0
204,37902.56831,5.03815088,28.24836343,1.667224979,0.628,29460,6623,5100,0
205,38943.90026,5.201163427,28.73687963,1.657470417,0.63,30114,6627,5074,0
206,38188.56798,5.038094066,28.92077945,1.667163208,0.628,29642,6629,5104,0
207,38773.56403,5.189792611,28.43654596,1.62575796,0.632,29992,6632,5086,0
208,38538.96144,5.201163427,27.44829844,1.621478844,0.634,29856,6634,5083,0
209,38790.59729,5.187982353,28.44044226,1.654787919,0.629,30023,6637,5087,0
210,37711.55827,5.036425716,27.35924656,1.656420862,0.629,29357,6639,5115,0
211,38851.34752,5.190487216,28.4470333,1.660098216,0.629,30070,6641,5087,0
212,38790.59729,5.124909638,29.16909477,1.654787919,0.629,30024,6642,5101,0
213,38986.04311,5.200916621,28.52575747,1.626450384,0.632,30144,6655,5103,0
214,38251.56443,5.071181592,28.2857712,1.659903849,0.628,29702,6655,5120,0
215,38986.04311,5.200337465,28.44453227,1.624721227,0.632,30148,6659,5106,0
216,38287.37727,5.071122191,28.28841161,1.660123368,0.628,29730,6661,5125,0
217,38251.56443,5.071181592,28.14921976,1.659900525,0.628,29710,6663,5127,0
218,38959.80933,5.128572308,29.09205919,1.626389364,0.631,30140,6671,5127,0
219,38850.50169,5.125920129,28.84738942,1.661502338,0.629,30093,6672,5123,0
220,38511.97465,5.037355624,29.10317845,1.662445955,0.628,29880,6675,5141,0
221,38850.50169,5.16350744,28.2489736,1.667182775,0.629,30105,6676,5118,0
222,39643.44773,5.262057645,28.79834835,1.657230942,0.631,30605,6680,5104,0
223,38502.06179,5.058811434,28.68900929,1.664310715,0.628,29884,6682,5143,0
224,38964.21677,5.131301218,28.86285995,1.626389364,0.631,30155,6684,5137,0
225,38964.21677,5.131301218,28.86285995,1.626389364,0.631,30155,6684,5137,0
226,38964.21677,5.131301218,28.86285995,1.626389364,0.631,30155,6684,5137,0
227,38962.6556,5.131301218,28.85926146,1.626389364,0.631,30154,6684,5137,0
228,38964.21677,5.131301218,28.86285995,1.626389364,0.631,30155,6684,5137,0
229,38392.43283,5.069637962,28.2354527,1.660123368,0.628,29816,6684,5143,0
230,38959.80933,5.128572308,28.86343879,1.626389364,0.631,30154,6685,5138,0
231,38483.77794,5.099643785,27.6359692,1.62529592,0.633,29874,6687,5140,0
232,38992.88862,5.131301218,28.86285995,1.626389364,0.631,30178,6689,5140,0
233,38463.37162,5.038106756,28.70644519,1.653629054,0.628,29862,6692,5158,0
234,38318.517,5.034901268,28.34627921,1.667123743,0.628,29781,6693,5155,0
235,38466.80771,5.040835666,28.56215918,1.654645913,0.628,29872,6700,5163,0
236,38490.46843,5.039793541,28.29130673,1.629695712,0.631,29887,6701,5163,0
237,38488.78759,5.069700906,28.23181751,1.661777068,0.628,29892,6701,5156,0
238,38850.50169,5.066932343,29.19362294,1.66151465,0.628,30115,6701,5156,0
239,39004.86596,5.129037777,28.73766531,1.664389044,0.629,30219,6702,5145,0
240,38495.75529,5.060819583,28.29145158,1.674909074,0.628,29906,6702,5155,0
241,38490.46843,5.039793541,28.26890297,1.629695712,0.631,29889,6703,5163,0
242,38502.06179,5.058811434,28.3785064,1.664310715,0.628,29903,6703,5159,0
243,38305.7947,5.027292563,28.24912536,1.667409215,0.628,29782,6703,5164,0
244,39004.86596,5.131482048,28.712522,1.661216812,0.629,30217,6704,5147,0
245,39004.86596,5.131482048,28.712522,1.661216812,0.629,30217,6704,5147,0
246,38487.03203,5.039679589,28.56215918,1.654306019,0.628,29888,6704,5167,0
247,38370.3036,5.038106756,28.2489736,1.661769651,0.628,29822,6705,5165,0
248,38620.51563,5.076120777,28.40654555,1.669302428,0.628,29983,6705,5157,0
249,38502.35131,5.041122605,28.55887209,1.664592766,0.628,29905,6706,5165,0
250,38497.6386,5.040826983,28.55284353,1.654645913,0.628,29896,6706,5167,0
251,38829.73886,5.057475497,29.16432952,1.664984958,0.628,30110,6707,5162,0
252,38773.56403,5.085312223,28.29156065,1.622321975,0.632,30069,6710,5161,0
253,38495.75529,5.032938151,28.09354907,1.625663879,0.632,29903,6711,5169,0
254,38836.53506,5.121605781,28.29836406,1.637492888,0.63,30106,6711,5160,0
255,38466.80771,5.040835666,28.37218873,1.654645913,0.628,29883,6711,5172,0
256,38460.68657,5.027719136,28.49645663,1.653643471,0.628,29880,6713,5176,0
257,38790.59729,5.082695562,28.29545696,1.621798927,0.633,30084,6714,5164,0
258,38962.89096,5.199801308,27.46562955,1.626389364,0.633,30189,6714,5146,0
259,38502.06179,5.131580021,27.24347614,1.664592766,0.629,29918,6714,5155,0
260,38465.3981,5.025957326,28.49645663,1.654645913,0.628,29885,6715,5177,0
261,38465.3981,5.025957326,28.49645663,1.654640307,0.628,29885,6715,5177,0
262,38465.3981,5.025957326,28.49645663,1.654645913,0.628,29885,6715,5177,0
263,38790.59729,5.097046171,28.39444298,1.669341476,0.628,30100,6716,5161,0
264,38886.31453,5.057885003,29.12244079,1.669435741,0.628,30158,6717,5168,0
265,38886.31453,5.045031143,29.28169627,1.669435741,0.628,30157,6717,5170,0
266,38462.40027,5.038106756,28.29130673,1.654645913,0.628,29886,6718,5177,0
267,38447.96061,5.03868441,28.23274681,1.661777068,0.628,29883,6719,5176,0
268,38850.50169,5.097589206,28.49764765,1.667345649,0.628,30139,6720,5165,0
269,38962.89096,5.201355513,27.28643593,1.626389364,0.633,30198,6722,5152,0
270,38962.89096,5.201355513,27.28643593,1.626389364,0.633,30198,6722,5152,0
271,38495.75529,5.038106756,28.29130673,1.660123368,0.628,29916,6724,5180,0
272,38495.75529,5.099824615,27.48563125,1.660123368,0.629,29919,6724,5169,0
273,38495.75529,5.09860652,27.49515077,1.660123368,0.629,29919,6724,5169,0
274,38773.56403,5.063183777,28.73312156,1.661624422,0.628,30087,6724,5175,0
275,38445.42568,5.038106756,28.14962188,1.660114539,0.628,29885,6724,5180,0
276,38490.92938,5.038106756,28.29130673,1.660123368,0.628,29912,6724,5179,0
277,38886.31453,5.032879375,29.34245693,1.669370892,0.627,30162,6724,5178,0
278,38495.75529,5.052773489,27.46414012,1.62429835,0.633,29923,6726,5176,0
279,38790.59729,5.071324746,28.29130673,1.625234911,0.632,30095,6727,5177,0
280,38750.41188,5.131548025,27.25424088,1.622260955,0.634,30078,6727,5165,0
281,38790.59729,5.071324746,28.29130673,1.625234911,0.632,30095,6727,5177,0
282,38850.50169,5.096412087,28.40390514,1.669216223,0.628,30146,6727,5170,0
283,38850.50169,5.096412087,28.40390514,1.669157191,0.628,30146,6727,5170,0
284,38821.69153,5.036622526,29.14085772,1.662390701,0.628,30119,6727,5182,0
285,38464.98203,5.038115438,28.14817126,1.660114539,0.628,29900,6728,5182,0
286,38962.89096,5.201355513,27.15283184,1.626413061,0.633,30206,6729,5157,0
287,38850.50169,5.096412087,28.40390514,1.656308371,0.628,30140,6731,5177,0
288,38770.38762,5.038094066,28.92077945,1.667158699,0.627,30094,6731,5184,0
289,39488.51897,5.200916621,28.52575747,1.662169572,0.629,30552,6733,5155,0
290,38495.81292,5.038106756,28.13885561,1.660114539,0.628,29925,6734,5187,0
291,38494.84418,5.038106756,28.14249351,1.664976166,0.628,29927,6734,5187,0
292,38518.32218,5.038106756,28.20633117,1.662445955,0.628,29940,6734,5187,0
293,38856.80819,5.038106756,29.10317845,1.662445955,0.628,30148,6735,5188,0
294,38856.80819,5.038106756,29.10317845,1.662445955,0.628,30148,6735,5188,0
295,38856.80819,5.038106756,29.10317845,1.662445955,0.628,30148,6735,5188,0
296,38856.80819,5.038098682,29.10317845,1.662445955,0.628,30148,6735,5188,0
297,38856.80819,5.038106756,29.10317845,1.662494094,0.628,30148,6735,5188,0
298,38856.80819,5.038106756,29.10317845,1.662635015,0.628,30148,6735,5187,0
299,38598.91704,5.038562567,28.40654555,1.667151748,0.628,29993,6735,5187,0
300,38825.42899,5.045065374,28.89133459,1.667309701,0.627,30134,6736,5186,0
301,38850.50169,5.098488033,28.2489736,1.667123743,0.628,30154,6737,5178,0
302,38850.50169,5.098488033,28.2489736,1.667123743,0.628,30154,6737,5178,0
303,38850.50169,5.098488033,28.2489736,1.666934682,0.628,30154,6737,5178,0
304,38852.56197,5.036705337,29.08204354,1.661434967,0.628,30146,6737,5190,0
305,38806.69363,5.036699465,28.93976915,1.667318065,0.627,30123,6737,5189,0
306,38913.54343,5.027517578,29.32805312,1.662177932,0.627,30186,6739,5192,0
307,38884.74044,5.036622526,29.14085772,1.660512387,0.628,30167,6739,5191,0
308,38856.15489,5.036720239,28.99166016,1.67333696,0.627,30160,6739,5188,0
309,38576.99886,5.040836102,28.2489736,1.662109544,0.628,29981,6740,5191,0
310,38514.4823,5.038106756,28.08724273,1.65977166,0.628,29942,6740,5192,0
311,38550.42275,5.033744136,28.24748503,1.667092543,0.628,29968,6741,5193,0
312,38912.28519,5.038120688,29.12216497,1.66742804,0.627,30192,6741,5191,0
313,38914.30907,5.038120688,29.10742078,1.667318065,0.627,30194,6743,5193,0
314,38839.6839,5.038094066,28.92077945,1.667158699,0.627,30148,6743,5193,0
315,38773.56403,5.039682663,28.73312156,1.661669332,0.628,30105,6744,5195,0
316,38856.80819,5.038413611,28.93976915,1.667318065,0.627,30160,6744,5194,0
317,39488.51897,5.200916621,28.3763812,1.662169572,0.629,30562,6745,5165,0
318,38772.69215,5.038109394,28.73312156,1.661669332,0.628,30105,6745,5196,0
319,38856.80819,5.038156824,28.93976915,1.667318065,0.627,30160,6745,5194,0
320,38856.80819,5.038156824,28.93976915,1.667318065,0.627,30160,6745,5194,0
321,38856.80819,5.038156824,28.93976915,1.667318065,0.627,30160,6745,5194,0
322,38856.80819,5.038156824,28.93976915,1.667318065,0.627,30160,6745,5194,0
323,38856.80819,5.038243393,28.93976915,1.667253758,0.627,30160,6745,5194,0
324,38856.80819,5.038156824,28.93976915,1.667318065,0.627,30160,6745,5194,0
325,38856.80819,5.038156824,28.93976915,1.667318065,0.627,30160,6745,5194,0
326,38856.80819,5.038156824,28.93976915,1.667318065,0.627,30160,6745,5194,0
327,38856.80819,5.038156824,28.93976915,1.667318065,0.627,30160,6745,5194,0
