ID,ThrustSLS,WingSpan,WingSweep,WingTCR,MTOW,Range,TOFL,AppSpeed
348,24000,102,29,0.111,175660.641,1840.939953,9081.924633,142.2236397
349,24000,102,29,0.114,176571.5551,1877.633374,9187.471055,142.5919254
350,24000,102,29,0.117,177489.1174,1910.603877,9295.221327,142.9619397
351,24000,102,30,0.09,169647.6552,1494.965141,8418.886992,139.7683742
352,24000,102,30,0.093,170488.559,1548.163367,8508.239295,140.1141952
353,24000,102,30,0.096,171342.1104,1600.455545,8600.02363,140.4645006
354,24000,102,30,0.099,172207.0942,1651.604836,8694.175472,140.8186089
355,24000,102,30,0.102,173082.4848,1700.343593,8790.647581,141.1760731
356,24000,102,30,0.105,173967.374,1747.86426,8889.402905,141.5364984
357,24000,102,30,0.108,174860.9551,1794.576779,8990.413277,141.8995349
358,24000,102,30,0.111,175762.5086,1839.888042,9093.658341,142.2648714
359,24000,102,30,0.114,176671.3913,1879.767972,9199.124659,142.6322307
360,24000,102,30,0.117,177587.026,1914.75909,9306.804961,143.0013647
361,24000,102,31,0.09,169777.3002,1487.851036,8432.594104,139.8217714
362,24000,102,31,0.093,170614.8839,1540.896243,8521.75373,140.1660939
363,24000,102,31,0.096,171465.3234,1593.247538,8613.364687,140.5149949
364,24000,102,31,0.099,172327.3834,1644.734974,8707.360624,140.8677812
365,24000,102,31,0.102,173200.0217,1694.478869,8803.692844,141.223999
366,24000,102,31,0.105,174082.3156,1742.656415,8902.323019,141.5832469
367,24000,102,31,0.108,174973.445,1789.915838,9003.221864,141.9451694
368,24000,102,31,0.111,175872.679,1835.834267,9106.368039,142.3094504
369,24000,102,31,0.114,176779.364,1880.295808,9211.747235,142.675808
370,24000,102,31,0.117,177692.9134,1917.58047,9319.351417,143.0439903
371,24000,102,32,0.09,169917.3224,1480.570992,8447.426375,139.8794198
372,24000,102,32,0.093,170751.3194,1533.563606,8536.376849,140.2221248
373,24000,102,32,0.096,171598.3971,1585.760234,8627.799599,140.5695098
