Altitude,Mach,CL,CD Total,LOD
25000,0.6,0.81255219,0.043107487,18.84944465
25000,0.6,0.914121214,0.050343311,18.15774918
25000,0.6,1.218828285,0.079217539,15.3858388
25000,0.6,1.439390485,0.107468508,13.39360257
25000,0.7,0,0.022187098,0
25000,0.7,0.101569024,0.021505543,4.722923016
25000,0.7,0.203138048,0.021709846,9.356954812
25000,0.7,0.304707071,0.02280836,13.35944676
25000,0.7,0.406276095,0.024820035,16.3688768
25000,0.7,0.507845119,0.027783682,18.27853914
25000,0.7,0.609414143,0.031810007,19.15793804
25000,0.7,0.710983166,0.036925741,19.25440483
25000,0.7,0.81255219,0.043167561,18.82321288
25000,0.7,0.914121214,0.050571617,18.07577586
25000,0.7,1.218828285,0.080062468,15.22346632
25000,0.7,1.439390485,0.108512694,13.26471984
25000,0.75,0,0.022863348,0
25000,0.75,0.101569024,0.022185845,4.578100316
25000,0.75,0.203138048,0.022388349,9.073382231
25000,0.75,0.304707071,0.023476956,12.97898548
25000,0.75,0.406276095,0.025468361,15.95218848
25000,0.75,0.507845119,0.028526376,17.8026511
25000,0.75,0.609414143,0.03289606,18.52544478
25000,0.75,0.710983166,0.038320839,18.55343423
25000,0.75,0.81255219,0.044860375,18.11291569
25000,0.75,0.914121214,0.052542832,17.39763883
25000,0.75,1.218828285,0.082396365,14.79225795
25000,0.75,1.439390485,0.110600691,13.01429921
25000,0.775,0,0.023656963,0
25000,0.775,0.101569024,0.023119056,4.393303256
25000,0.775,0.203138048,0.023321085,8.710488727
25000,0.775,0.304707071,0.024404974,12.48544952
25000,0.775,0.406276095,0.026386219,15.39728352
25000,0.775,0.507845119,0.02948489,17.22391093
25000,0.775,0.609414143,0.034064682,17.8899114
25000,0.775,0.710983166,0.039734872,17.89317872
25000,0.775,0.81255219,0.046476975,17.4828975
25000,0.775,0.914121214,0.054245662,16.85150813
25000,0.775,1.218828285,0.084185417,14.47790281
25000,0.775,1.439390485,0.112183823,12.83064212
25000,0.8,0,0.025083015,0
25000,0.8,0.101569024,0.02455964,4.135607199
25000,0.8,0.203138048,0.024781674,8.197107588
25000,0.8,0.304707071,0.025889567,11.76949275
25000,0.8,0.406276095,0.027896779,14.56354854
25000,0.8,0.507845119,0.031145168,16.30574345
25000,0.8,0.609414143,0.036040073,16.90934819
25000,0.8,0.710983166,0.041929134,16.95678155
25000,0.8,0.81255219,0.048849055,16.63393877
25000,0.8,0.914121214,0.05679946,16.09383635
25000,0.8,1.218828285,0.086863286,14.03157008
25000,0.8,1.439390485,0.114757936,12.54284048
25000,0.825,0,0.027397887,0
25000,0.825,0.101569024,0.026896366,3.776310302
25000,0.825,0.203138048,0.027166552,7.477505721
25000,0.825,0.304707071,0.028346304,10.74944624
25000,0.825,0.406276095,0.030447477,13.3435061
25000,0.825,0.507845119,0.03389325,14.98366545
25000,0.825,0.609414143,0.039170817,15.55786143
25000,0.825,0.710983166,0.045413147,15.6558885
25000,0.825,0.81255219,0.052609305,15.44502802
25000,0.825,0.914121214,0.060826678,15.02829423
25000,0.825,1.218828285,0.091718989,13.28872351
25000,0.825,1.439390485,0.120036599,11.99126347
30000,0.2,0,0.027317545,0
30000,0.2,0.101569024,0.026431609,3.842710597
30000,0.2,0.203138048,0.026508009,7.663270674
30000,0.2,0.304707071,0.027570673,11.05185466
30000,0.2,0.406276095,0.029653897,13.70059709
30000,0.2,0.507845119,0.032798807,15.48364607
30000,0.2,0.609414143,0.037068542,16.44019727
30000,0.2,0.710983166,0.042529651,16.71735247
30000,0.2,0.81255219,0.049247439,16.49937959
30000,0.2,0.914121214,0.057285693,15.9572341
